1	100	200	11.8941	0	11.8941	0
1	100	200	11.8941	0	11.8941	0
1	100	200	11.8941	0	11.8941	0
1	100	200	11.8941	0	11.8941	0
1	100	200	11.8941	0	11.8941	0
1	100	200	11.8941	0	11.8941	0
1	100	200	12.2443	0	12.2443	0
1	100	200	11.8941	0	11.8941	0
1	100	200	11.8941	9.75888	11.8941	9.75888
1	100	200	11.8941	7.45897	11.8941	7.45897
1	100	200	11.8941	10.7442	11.8941	10.7442
1	100	200	11.8941	8.65627	11.8941	8.65627
1	100	200	11.8941	6.16612	11.8941	6.16612
1	100	200	11.8941	6.59585	11.8941	6.59585
1	100	200	11.8941	6.84067	11.8941	6.84067
1	100	200	11.8941	8.15071	11.8941	8.15071
1	200	200	10.1647	8.09399	10.1647	8.09399
1	200	200	10.1647	7.86683	10.1647	7.86683
1	200	200	10.1647	8.02528	10.1647	8.02528
1	200	200	10.1647	8.12324	10.1647	8.12324
1	200	200	10.1647	7.7292	10.1647	7.7292
1	200	200	12.6873	8.69047	12.6873	8.69047
1	200	200	11.0683	6.83065	11.0683	6.83065
1	200	200	11.8997	8.33327	11.8997	8.33327
1	200	200	10.2146	7.28669	10.2146	7.28669
1	200	200	10.7451	7.7628	10.7451	7.7628
1	200	200	10.7933	6.45529	10.7933	6.45529
1	200	200	11.4583	9.00171	11.4583	9.00171
1	500	500	9.59364	8.27616	9.59364	8.27616
1	500	500	9.93896	8.85791	9.93896	8.85791
1	500	500	10.4263	7.72824	10.4263	7.72824
1	500	500	9.46387	7.54265	9.46387	7.54265
1	500	500	17.4282	13.9722	17.4282	13.9722
1	500	500	15.9285	14.641	15.9285	14.641
1	500	500	16.2618	15.0046	16.2618	15.0046
1	500	500	15.1366	15.085	15.1366	15.085
1	500	500	15.4722	15.965	15.4722	15.965
3	100	200	17.2339	17.0941	19.3415	14.4611
10	200	400	18.6524	17.1827	19.4934	16.466
1	200	400	17.4349	16.6858	17.4349	16.6858
1	200	400	14.5972	12.5862	14.5972	12.5862
1	200	400	15.4487	13.4734	15.4487	13.4734
1	200	400	15.5504	14.2076	15.5504	14.2076
10	200	400	16.1291	14.3714	16.7191	13.9066
1	200	10	13.1814	14.3274	13.1814	14.3274
5	200	100	14.1143	12.4109	14.6534	10.7684
5	250	250	15.5296	14.189	16.0035	13.0232
